,ano_campeonato,rodada,estadio,publico,publico_max,time_mandante,gols_mandante,time_visitante,gols_visitante,arbitro,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
2084,2020,21,Estádio Serra Dourada,0,12500,Goiás EC,0,Athletico-PR,1,Flavio Rodrigues de Souza,8,10,14,12,3,0
2085,2020,30,Estádio Serra Dourada,0,12500,Goiás EC,0,Flamengo,3,Rodolpho Toski Marques,4,5,24,13,1,3
2086,2020,1,Allianz Parque,0,43600,Palmeiras,1,Vasco da Gama,1,Anderson Daronco,6,3,19,11,0,2
2087,2020,3,Allianz Parque,0,43600,Palmeiras,1,Goiás EC,1,Paulo Roberto Alves Júnior,,,,,,
2088,2020,10,Allianz Parque,0,43600,Palmeiras,2,Sport Recife,2,Diego Pombo Lopez,6,2,15,12,3,1
2089,2020,13,Allianz Parque,0,43600,Palmeiras,2,Ceará SC,1,Bruno Arleu de Araújo,9,4,10,19,1,0
2090,2020,37,Allianz Parque,0,43600,Palmeiras,1,Atlético-GO,1,Caio Max Augusto Vieira,9,6,20,13,0,1
2091,2020,6,Estádio Urbano Caldeira,0,20120,Santos FC,0,Flamengo,1,Wilton Sampaio,9,2,14,26,5,1
2092,2020,7,Estádio Urbano Caldeira,0,20120,Santos FC,2,Vasco da Gama,2,Rodrigo D,9,2,17,21,2,1
2093,2020,9,Estádio Urbano Caldeira,0,20120,Santos FC,3,Atlético-MG,1,Wagner do Nascimento Magalhães,4,5,11,15,4,1
2094,2020,19,Estádio Urbano Caldeira,0,20120,Santos FC,3,EC Bahia,1,Héber Lopes,6,9,19,13,2,3
2095,2020,27,Estádio Urbano Caldeira,0,20120,Santos FC,1,Ceará SC,1,Rodolpho Toski Marques,11,2,15,24,2,1
2096,2020,30,Estádio Urbano Caldeira,0,20120,Santos FC,2,Botafogo,1,Leandro Pedro Vuaden,15,6,8,24,2,3
2097,2020,37,Estádio Urbano Caldeira,0,20120,Santos FC,1,Fluminense,1,Savio Pereira Sampaio,4,4,20,19,1,1
2098,2020,2,Estádio Jornalista Mário Filho,0,82238,Fluminense,1,Palmeiras,1,Rafael Traci,3,3,20,31,3,0
2099,2020,3,Estádio Jornalista Mário Filho,0,82238,Fluminense,2,Internacional,1,Raphael Claus,1,4,13,24,1,1
2100,2020,17,Estádio Jornalista Mário Filho,0,82238,Fluminense,2,Ceará SC,2,Gilberto Rodrigues Castro Junior,4,3,16,17,2,2
2101,2020,18,Estádio Jornalista Mário Filho,0,82238,Fluminense,3,Santos FC,1,Anderson Daronco,10,8,13,18,2,3
2102,2020,20,Estádio Jornalista Mário Filho,0,82238,Fluminense,0,Grêmio,1,Edina Alves Batista,4,5,12,13,1,2
2103,2020,24,Estádio Jornalista Mário Filho,0,82238,Fluminense,3,Athletico-PR,1,Ramon Abatti,15,2,16,18,2,0
2104,2020,27,Estádio Jornalista Mário Filho,0,82238,Fluminense,1,São Paulo,2,Anderson Daronco,0,2,17,22,0,0
2105,2020,4,Estádio Cícero Pompeu de Toledo,0,67428,São Paulo,1,EC Bahia,1,Rodrigo Carvalhaes de Miranda,5,6,14,16,4,1
2106,2020,6,Estádio Cícero Pompeu de Toledo,0,67428,São Paulo,2,Corinthians,1,Flavio Rodrigues de Souza,7,4,16,22,2,1
2107,2020,8,Estádio Cícero Pompeu de Toledo,0,67428,São Paulo,3,Fluminense,1,Paulo Roberto Alves Júnior,3,2,20,13,0,2
2108,2020,20,Estádio Cícero Pompeu de Toledo,0,67428,São Paulo,2,Goiás EC,1,Gilberto Rodrigues Castro Junior,10,2,9,19,1,1
2109,2020,22,Estádio Cícero Pompeu de Toledo,0,67428,São Paulo,1,Vasco da Gama,1,Braulio da Silva Machado,7,4,7,19,2,2
2110,2020,4,Neo Química Arena,0,49205,Corinthians,3,Coritiba FC,1,Braulio da Silva Machado,10,0,15,7,0,3
2111,2020,8,Neo Química Arena,0,49205,Corinthians,2,Botafogo,2,Rafael Traci,12,6,18,10,1,2
