,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
2232,2023,28,Estádio Cícero Pompeu de Toledo,47132.0,72039.0,André Luiz Skettino Policarpo Bento,São Paulo,3.0,Grêmio,0.0,6.0,3.0,24.0,17.0,1.0,2.0
2233,2023,31,Estádio Cícero Pompeu de Toledo,50570.0,72039.0,Wilton Sampaio,São Paulo,1.0,Cruzeiro,0.0,3.0,4.0,10.0,12.0,5.0,1.0
2234,2023,35,Estádio Cícero Pompeu de Toledo,34252.0,72039.0,Paulo Cesar Zanovelli,São Paulo,0.0,Cuiabá-MT,0.0,5.0,1.0,12.0,11.0,1.0,2.0
2235,2023,38,Estádio Cícero Pompeu de Toledo,36618.0,72039.0,Caio Max Augusto Vieira,São Paulo,1.0,Flamengo,0.0,4.0,9.0,13.0,16.0,2.0,0.0
2236,2023,6,Arena do Grêmio,19598.0,60540.0,Bruno Mota Correia,Grêmio,0.0,Fortaleza,0.0,9.0,5.0,22.0,22.0,1.0,1.0
2237,2023,16,Arena do Grêmio,37085.0,60540.0,Luiz Flávio de Oliveira ,Grêmio,1.0,Atlético-MG,0.0,3.0,8.0,7.0,17.0,0.0,1.0
2238,2023,21,Arena do Grêmio,24938.0,60540.0,Marcelo de Lima Henrique  ,Grêmio,3.0,Cruzeiro,0.0,6.0,5.0,12.0,20.0,5.0,0.0
2239,2023,22,Arena do Grêmio,39339.0,60540.0,Yuri Elino Ferreira da Cruz,Grêmio,2.0,Cuiabá-MT,0.0,2.0,9.0,18.0,16.0,3.0,0.0
2240,2023,24,Arena do Grêmio,29057.0,60540.0,Bruno Arleu de Araújo,Grêmio,1.0,Palmeiras,0.0,2.0,11.0,15.0,14.0,1.0,3.0
2241,2023,32,Arena do Grêmio,40154.0,60540.0,Braulio da Silva Machado,Grêmio,1.0,Bahia,0.0,5.0,4.0,9.0,17.0,1.0,0.0
2242,2023,37,Arena do Grêmio,50481.0,60540.0,Ramon Abatti,Grêmio,1.0,Vasco da Gama,0.0,5.0,6.0,18.0,12.0,1.0,2.0
2243,2023,1,Ligga Arena,15329.0,42372.0,Rafael Rodrigo Klein,Atlético-PR,2.0,Goiás,0.0,3.0,8.0,19.0,18.0,1.0,1.0
2244,2023,9,Ligga Arena,18684.0,42372.0,Vinicius Gonçalves Dias Araujo,Atlético-PR,1.0,Botafogo,0.0,6.0,7.0,15.0,12.0,3.0,0.0
2245,2023,12,Ligga Arena,30144.0,42372.0,Wagner do Nascimento Magalhães,Atlético-PR,1.0,Corinthians,0.0,5.0,5.0,25.0,11.0,1.0,1.0
2246,2023,19,Ligga Arena,18444.0,42372.0,Arthur Gomes Rabelo,Atlético-PR,2.0,Cuiabá-MT,0.0,5.0,3.0,22.0,12.0,1.0,1.0
2247,2023,35,Ligga Arena,22056.0,42372.0,Anderson Daronco,Atlético-PR,0.0,Vasco da Gama,0.0,5.0,1.0,15.0,19.0,2.0,2.0
2248,2023,37,Ligga Arena,21056.0,42372.0,Rafael Rodrigo Klein,Atlético-PR,3.0,Santos,0.0,6.0,6.0,18.0,15.0,1.0,0.0
2249,2023,12,Estádio Luso Brasileiro,0.0,5000.0,Rafael Rodrigo Klein,Vasco da Gama,1.0,Cuiabá-MT,0.0,4.0,6.0,18.0,13.0,3.0,5.0
2250,2023,6,Estádio Governador Magalhães Pinto,36080.0,57483.0,Raphael Claus,Atlético-MG,2.0,Internacional,0.0,3.0,3.0,14.0,8.0,0.0,2.0
2251,2023,19,Estádio Governador Magalhães Pinto,29847.0,57483.0,Savio Pereira Sampaio,Atlético-MG,1.0,Bahia,0.0,2.0,9.0,15.0,12.0,4.0,1.0
2252,2023,2,Estádio Urbano Caldeira,11233.0,20120.0,Braulio da Silva Machado,Santos,0.0,Atlético-MG,0.0,9.0,6.0,11.0,21.0,0.0,1.0
2253,2023,5,Estádio Urbano Caldeira,7262.0,20120.0,Wagner do Nascimento Magalhães,Santos,3.0,Bahia,0.0,1.0,4.0,18.0,13.0,5.0,1.0
2254,2023,7,Estádio Urbano Caldeira,12641.0,20120.0,Raphael Claus,Santos,0.0,Palmeiras,0.0,3.0,4.0,15.0,11.0,0.0,3.0
2255,2023,32,Estádio Urbano Caldeira,12923.0,20120.0,Savio Pereira Sampaio,Santos,0.0,Cuiabá-MT,0.0,4.0,4.0,13.0,7.0,0.0,1.0
2256,2023,34,Estádio Urbano Caldeira,13442.0,20120.0,Raphael Claus,Santos,0.0,São Paulo,0.0,1.0,4.0,12.0,14.0,1.0,1.0
2257,2023,7,Estádio Nabi Abi Chedid,3769.0,13212.0,Felipe Fernandes,RB Bragantino,2.0,Atlético-PR,0.0,6.0,5.0,20.0,12.0,2.0,3.0
2258,2023,8,Estádio Nabi Abi Chedid,5988.0,13212.0,Anderson Daronco,RB Bragantino,2.0,Santos,0.0,5.0,4.0,13.0,10.0,3.0,4.0
2259,2023,11,Estádio Nabi Abi Chedid,10103.0,13212.0,Anderson Daronco,RB Bragantino,4.0,Flamengo,0.0,17.0,2.0,2.0,5.0,2.0,2.0
2260,2023,12,Estádio Nabi Abi Chedid,3798.0,13212.0,Bruno Mota Correia,RB Bragantino,2.0,Goiás,0.0,10.0,4.0,17.0,23.0,0.0,6.0
2261,2023,14,Estádio Nabi Abi Chedid,9411.0,13212.0,Raphael Claus,RB Bragantino,0.0,São Paulo,0.0,6.0,4.0,16.0,9.0,0.0,0.0
