,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
907,2020,10,Arena da Baixada,0,42372,Jean Pierre Goncalves Lima,Athletico-PR,1,Coritiba FC,0,9,6,21,12,3,3
908,2020,12,Arena da Baixada,0,42372,Ricardo Marques Ribeiro,Athletico-PR,1,EC Bahia,0,1,6,20,11,2,4
909,2020,14,Arena da Baixada,0,42372,Wilton Sampaio,Athletico-PR,0,Ceará SC,0,3,3,11,12,2,2
910,2020,16,Arena da Baixada,0,42372,Savio Pereira Sampaio,Athletico-PR,0,Corinthians,1,8,2,18,14,2,1
911,2020,18,Arena da Baixada,0,42372,Flavio Rodrigues de Souza,Athletico-PR,1,Grêmio,2,4,2,15,11,1,1
912,2020,22,Arena da Baixada,0,42372,Marcelo de Lima Henrique,Athletico-PR,1,Santos FC,0,9,2,22,13,2,1
913,2020,27,Arena da Baixada,0,42372,Jean Pierre Goncalves Lima,Athletico-PR,3,Vasco da Gama,0,6,5,14,11,1,3
914,2020,30,Arena da Baixada,0,42372,Wilton Sampaio,Athletico-PR,1,São Paulo,1,1,3,10,14,0,8
915,2020,34,Arena da Baixada,0,42372,Ricardo Marques Ribeiro,Athletico-PR,0,Internacional,0,3,2,15,20,2,1
916,2020,36,Arena da Baixada,0,42372,Wagner do Nascimento Magalhães,Athletico-PR,2,Atlético-GO,1,7,4,14,9,4,3
917,2020,38,Arena da Baixada,0,42372,Flavio Rodrigues de Souza,Athletico-PR,2,Sport Recife,0,8,5,15,10,2,2
918,2020,2,Estádio Olímpico Pedro Ludovico Teixeira,0,13000,Luiz Flávio de Oliveira,Atlético-GO,3,Flamengo,0,11,5,15,19,2,1
919,2020,3,Estádio Olímpico Pedro Ludovico Teixeira,0,13500,Grazianni Maciel Rocha,Atlético-GO,1,Sport Recife,1,4,9,13,15,0,2
920,2020,6,Estádio Antonio Accioly,0,13000,Igor Junior Benevenuto,Atlético-GO,0,Ceará SC,2,4,4,16,11,1,2
921,2020,11,Estádio Antonio Accioly,0,13000,Edina Alves Batista,Atlético-GO,3,Atlético-MG,4,6,4,16,14,1,4
922,2020,17,Estádio Antonio Accioly,0,13000,Pablo Ramón Goncalves Pinheiro,Atlético-GO,1,Athletico-PR,1,2,11,10,20,1,2
923,2020,20,Estádio Antonio Accioly,0,13000,Jean Pierre Goncalves Lima,Atlético-GO,1,Corinthians,1,7,3,22,25,2,2
924,2020,23,Estádio Antonio Accioly,0,13000,Ramon Abatti,Atlético-GO,0,Internacional,0,8,9,20,18,5,4
925,2020,26,Estádio Antonio Accioly,0,13000,Rodrigo D,Atlético-GO,2,Fluminense,1,11,6,18,18,0,0
926,2020,28,Estádio Antonio Accioly,0,13000,Savio Pereira Sampaio,Atlético-GO,0,Vasco da Gama,0,3,4,19,17,2,2
927,2020,29,Estádio Antonio Accioly,0,13000,Anderson Daronco,Atlético-GO,1,EC Bahia,1,6,6,20,18,3,1
928,2020,32,Estádio Antonio Accioly,0,13000,Rafael Traci,Atlético-GO,2,Fortaleza,0,5,5,12,13,0,2
929,2020,35,Estádio Antonio Accioly,0,13000,Marcelo de Lima Henrique,Atlético-GO,1,Santos FC,1,0,10,18,13,1,4
930,2020,38,Estádio Antonio Accioly,0,13000,Edina Alves Batista,Atlético-GO,3,Coritiba FC,1,7,4,8,9,1,1
931,2020,3,Estádio Governador Magalhães Pinto,0,57000,Savio Pereira Sampaio,Atlético-MG,2,Ceará SC,0,4,0,14,15,2,1
